specimenUUID,cataloger,fieldID,preparator,order,family,genus,specificEpithet,preparation,condition,specimenCoordinates,site,habitatType,country,stateProvince,county,municipality,specificLocality,siteNotes,verbatimLocality,coordinates,collEventID,Activity,startDate,endDate,startTime,endTime,methods,personnel,totalLength,tailLength,hindFootLength,earLength,weight,accuracy,age,sex,testisPos,testisSize,ovaryOpening,mammaeCondition,mammaeFormula,media
c5b6853f-badf-4f71-8154-b981dc4395ce,Heru Handika,HH1909,Heru Handika,Soricomorpha,Soricidae,Crocidura,monticola,Skin;None|Skull;|Liver;LN2|Lung;LN2|Heart;DMSO|Liver;ETOH|Skeleton;,Good,,GP-L1,Lower Montane Forest,Indonesia,Jawa Barat,Sukabumi,Perbawati,"Gede-Pangrango National Park, Pondok Halimun, Interpreter trail",,"Indonesia: Jawa Barat; Sukabumi; Perbawati; Gede-Pangrango National Park, Pondok Halimun, Interpreter trail","GP-L1;-6.8344,106.96744;1295m;10m;WGS84;Garmin 62sc","GP-L1-Feb 24, 2023",Collecting,"Feb 24, 2023","Feb 25, 2023",9:15 AM,9:15 AM,"Snap Trap";152|"Pitfall";12,Heru Handika;Leader|Fajar Alfitrian;Field Assistant|Nurul Inayah;Field Assistant|Fajar Alfitrian;Field Assistant|Alfath Fanidya;Field Assistant|Aril;Field Assistant|Arbi;Field Assistant,103.0,38.0,11.0,8.0,4.8,Accurate,Adult,Female,,,,Lactating,3 ing;,
e0e9589b-21a2-4bf6-8486-91b294504ead,Heru Handika,HH1910,Heru Handika,Soricomorpha,Soricidae,Crocidura,monticola,Alcohol;Formalin|Liver;LN2|Lung;LN2|Heart;DMSO|Liver;ETOH,Freshly Euthanized,,GP-L1,Lower Montane Forest,Indonesia,Jawa Barat,Sukabumi,Perbawati,"Gede-Pangrango National Park, Pondok Halimun, Interpreter trail",,"Indonesia: Jawa Barat; Sukabumi; Perbawati; Gede-Pangrango National Park, Pondok Halimun, Interpreter trail","GP-L1;-6.8344,106.96744;1295m;10m;WGS84;Garmin 62sc","GP-L1-Feb 24, 2023",Collecting,"Feb 24, 2023","Feb 25, 2023",9:15 AM,9:15 AM,"Snap Trap";152|"Pitfall";12,Heru Handika;Leader|Fajar Alfitrian;Field Assistant|Nurul Inayah;Field Assistant|Fajar Alfitrian;Field Assistant|Alfath Fanidya;Field Assistant|Aril;Field Assistant|Arbi;Field Assistant,97.0,34.0,11.0,9.0,3.8,Accurate,Adult,Male,,,,,,
c664fc07-1893-4893-868f-8268b867ecc2,Heru Handika,HH1911,Nurul Inayah,Soricomorpha,Soricidae,Crocidura,monticola,Alcohol;Formalin|Liver;|Liver;ETOH|Lung;LN2|Heart;DMSO,Good,,GP-L1,Lower Montane Forest,Indonesia,Jawa Barat,Sukabumi,Perbawati,"Gede-Pangrango National Park, Pondok Halimun, Interpreter trail",,"Indonesia: Jawa Barat; Sukabumi; Perbawati; Gede-Pangrango National Park, Pondok Halimun, Interpreter trail","GP-L1;-6.8344,106.96744;1295m;10m;WGS84;Garmin 62sc","GP-L1-Feb 24, 2023",Collecting,"Feb 24, 2023","Feb 25, 2023",9:15 AM,9:15 AM,"Snap Trap";152|"Pitfall";12,Heru Handika;Leader|Fajar Alfitrian;Field Assistant|Nurul Inayah;Field Assistant|Fajar Alfitrian;Field Assistant|Alfath Fanidya;Field Assistant|Aril;Field Assistant|Arbi;Field Assistant,100.0,40.0,10.0,9.0,3.4,Accurate,Adult,Male,,,,,,
e10d07ff-7358-4271-b8c7-ccd913175c99,Heru Handika,HH1912,Heru Handika,Soricomorpha,Soricidae,Crocidura,monticola,Alcohol;Formalin|Liver;LN2|Lung;LN2|Heart;DMSO|Liver;ETOH,Good,,GP-L1,Lower Montane Forest,Indonesia,Jawa Barat,Sukabumi,Perbawati,"Gede-Pangrango National Park, Pondok Halimun, Interpreter trail",,"Indonesia: Jawa Barat; Sukabumi; Perbawati; Gede-Pangrango National Park, Pondok Halimun, Interpreter trail","GP-L1;-6.8344,106.96744;1295m;10m;WGS84;Garmin 62sc","GP-L1-Feb 24, 2023",Collecting,"Feb 24, 2023","Feb 25, 2023",9:15 AM,9:15 AM,"Snap Trap";152|"Pitfall";12,Heru Handika;Leader|Fajar Alfitrian;Field Assistant|Nurul Inayah;Field Assistant|Fajar Alfitrian;Field Assistant|Alfath Fanidya;Field Assistant|Aril;Field Assistant|Arbi;Field Assistant,108.0,40.0,10.0,9.0,3.4,Accurate,Adult,Male,,,,,,
4fc199fa-b832-4b85-8efa-7c08a58a157a,Heru Handika,HH1913,Heru Handika,Soricomorpha,Soricidae,Crocidura,monticola,Alcohol;Formalin|Liver;LN2|Lung;LN2|Heart;DMSO|Liver;ETOH,Freshly Euthanized,,GP-L1,Lower Montane Forest,Indonesia,Jawa Barat,Sukabumi,Perbawati,"Gede-Pangrango National Park, Pondok Halimun, Interpreter trail",,"Indonesia: Jawa Barat; Sukabumi; Perbawati; Gede-Pangrango National Park, Pondok Halimun, Interpreter trail","GP-L1;-6.8344,106.96744;1295m;10m;WGS84;Garmin 62sc","GP-L1-Feb 24, 2023",Collecting,"Feb 24, 2023","Feb 25, 2023",9:15 AM,9:15 AM,"Snap Trap";152|"Pitfall";12,Heru Handika;Leader|Fajar Alfitrian;Field Assistant|Nurul Inayah;Field Assistant|Fajar Alfitrian;Field Assistant|Alfath Fanidya;Field Assistant|Aril;Field Assistant|Arbi;Field Assistant,100.0,40.0,11.0,9.0,3.2,Accurate,Adult,Male,,,,,,
09b42854-05c2-434a-8c7d-670d335e2350,Heru Handika,HH1914,Heru Handika,Soricomorpha,Soricidae,Crocidura,monticola,Alcohol;Formalin|Liver;LN2|Lung;LN2|Heart;DMSO|Liver;ETOH,Good,,GP-L1,Lower Montane Forest,Indonesia,Jawa Barat,Sukabumi,Perbawati,"Gede-Pangrango National Park, Pondok Halimun, Interpreter trail",,"Indonesia: Jawa Barat; Sukabumi; Perbawati; Gede-Pangrango National Park, Pondok Halimun, Interpreter trail","GP-L1;-6.8344,106.96744;1295m;10m;WGS84;Garmin 62sc","GP-L1-Feb 24, 2023",Collecting,"Feb 24, 2023","Feb 25, 2023",9:15 AM,9:15 AM,"Snap Trap";152|"Pitfall";12,Heru Handika;Leader|Fajar Alfitrian;Field Assistant|Nurul Inayah;Field Assistant|Fajar Alfitrian;Field Assistant|Alfath Fanidya;Field Assistant|Aril;Field Assistant|Arbi;Field Assistant,102.0,42.0,10.0,9.0,4.4,Accurate,Adult,Female,,,,Large,3 ing;0 abd;0 ax,
e47e16e4-9314-48d6-8c7b-5f6638c11877,Heru Handika,HH1915,Heru Handika,Soricomorpha,Soricidae,Crocidura,monticola,Alcohol;Formalin|Liver;LN2|Lung;LN2|Heart;DMSO|Liver;ETOH,Good,,GP-L1,Lower Montane Forest,Indonesia,Jawa Barat,Sukabumi,Perbawati,"Gede-Pangrango National Park, Pondok Halimun, Interpreter trail",,"Indonesia: Jawa Barat; Sukabumi; Perbawati; Gede-Pangrango National Park, Pondok Halimun, Interpreter trail","GP-L1;-6.8344,106.96744;1295m;10m;WGS84;Garmin 62sc","GP-L1-Feb 24, 2023",Collecting,"Feb 24, 2023","Feb 25, 2023",9:15 AM,9:15 AM,"Snap Trap";152|"Pitfall";12,Heru Handika;Leader|Fajar Alfitrian;Field Assistant|Nurul Inayah;Field Assistant|Fajar Alfitrian;Field Assistant|Alfath Fanidya;Field Assistant|Aril;Field Assistant|Arbi;Field Assistant,100.0,41.0,11.0,9.0,4.1,Accurate,Adult,Male,,,,,,
76810271-1531-499e-bbb6-2fcfa6ff2118,Heru Handika,HH1916,Heru Handika,Soricomorpha,Soricidae,Crocidura,monticola,Skin;|Liver;LN2|Lung;LN2|Heart;DMSO|Liver;ETOH|Skull;ETOH|Skeleton;ETOH,Good,,GP-L1,Lower Montane Forest,Indonesia,Jawa Barat,Sukabumi,Perbawati,"Gede-Pangrango National Park, Pondok Halimun, Interpreter trail",,"Indonesia: Jawa Barat; Sukabumi; Perbawati; Gede-Pangrango National Park, Pondok Halimun, Interpreter trail","GP-L1;-6.8344,106.96744;1295m;10m;WGS84;Garmin 62sc","GP-L1-Feb 25, 2023",Collecting,"Feb 25, 2023","Feb 26, 2023",7:00 AM,7:00 AM,"Snap Trap";152|"Pitfall";12,Heru Handika;Leader|Fajar Alfitrian;Field Assistant,100.0,43.0,12.0,9.0,4.7,Accurate,Adult,Male,,,,,,
890db10a-3936-40fb-8f40-90b5e2585dad,Heru Handika,HH1917,Nurul Inayah,Soricomorpha,Soricidae,Crocidura,monticola,Alcohol;Formalin|Liver;LN2|Lung;LN2|Heart;DMSO|Liver;ETOH|Swap;LN2,Freshly Euthanized,,GP-L1,Lower Montane Forest,Indonesia,Jawa Barat,Sukabumi,Perbawati,"Gede-Pangrango National Park, Pondok Halimun, Interpreter trail",,"Indonesia: Jawa Barat; Sukabumi; Perbawati; Gede-Pangrango National Park, Pondok Halimun, Interpreter trail","GP-L1;-6.8344,106.96744;1295m;10m;WGS84;Garmin 62sc","GP-L1-Feb 25, 2023",Collecting,"Feb 25, 2023","Feb 26, 2023",7:00 AM,7:00 AM,"Snap Trap";152|"Pitfall";12,Heru Handika;Leader|Fajar Alfitrian;Field Assistant,98.0,43.0,11.0,9.0,4.4,Accurate,Adult,Male,,,,,,
2e2476ce-375a-4865-a571-0677b65b27cd,Heru Handika,HH1918,Fajar Alfitrian,Soricomorpha,Soricidae,Crocidura,monticola,Alcohol;Formalin|Liver;LN2|Lung;LN2|Heart;DMSO|Liver;ETOH,Good,,GP-L1,Lower Montane Forest,Indonesia,Jawa Barat,Sukabumi,Perbawati,"Gede-Pangrango National Park, Pondok Halimun, Interpreter trail",,"Indonesia: Jawa Barat; Sukabumi; Perbawati; Gede-Pangrango National Park, Pondok Halimun, Interpreter trail","GP-L1;-6.8344,106.96744;1295m;10m;WGS84;Garmin 62sc","GP-L1-Feb 25, 2023",Collecting,"Feb 25, 2023","Feb 26, 2023",7:00 AM,7:00 AM,"Snap Trap";152|"Pitfall";12,Heru Handika;Leader|Fajar Alfitrian;Field Assistant,90.0,38.0,12.0,9.0,3.0,Accurate,Adult,Female,,,,,,
a7653b14-962b-4a33-bf8c-5702f872cc36,Heru Handika,HH1919,Heru Handika,Soricomorpha,Soricidae,Crocidura,monticola,Alcohol;Formalin|Liver;LN2|Lung;LN2|Heart;DMSO|Liver;ETOH,Good,,GP-L1,Lower Montane Forest,Indonesia,Jawa Barat,Sukabumi,Perbawati,"Gede-Pangrango National Park, Pondok Halimun, Interpreter trail",,"Indonesia: Jawa Barat; Sukabumi; Perbawati; Gede-Pangrango National Park, Pondok Halimun, Interpreter trail","GP-L1;-6.8344,106.96744;1295m;10m;WGS84;Garmin 62sc","GP-L1-Feb 25, 2023",Collecting,"Feb 25, 2023","Feb 26, 2023",7:00 AM,7:00 AM,"Snap Trap";152|"Pitfall";12,Heru Handika;Leader|Fajar Alfitrian;Field Assistant,98.0,44.0,12.0,8.0,4.1,Accurate,Adult,Female,,,,,,
8a797acf-768e-4fe1-a744-4449a3a10707,Heru Handika,HH1920,Heru Handika,Soricomorpha,Soricidae,Crocidura,monticola,Alcohol;Formalin|Liver;LN2|Lung;LN2|Heart;DMSO|Liver;ETOH,Good,,GP-L1,Lower Montane Forest,Indonesia,Jawa Barat,Sukabumi,Perbawati,"Gede-Pangrango National Park, Pondok Halimun, Interpreter trail",,"Indonesia: Jawa Barat; Sukabumi; Perbawati; Gede-Pangrango National Park, Pondok Halimun, Interpreter trail","GP-L1;-6.8344,106.96744;1295m;10m;WGS84;Garmin 62sc","GP-L1-Feb 25, 2023",Collecting,"Feb 25, 2023","Feb 26, 2023",7:00 AM,7:00 AM,"Snap Trap";152|"Pitfall";12,Heru Handika;Leader|Fajar Alfitrian;Field Assistant,96.0,40.0,11.0,8.0,4.1,Accurate,Adult,Female,,,,,,
